part_id,material,feed_rate,cutting_speed,depth_of_cut,tool_nose_radius,tool_wear_time,surface_roughness_ra
1,Aluminum_6061,0.398,264.8,1.788,1.2,34.6,5.141
2,Stainless_304,0.247,157.1,2.719,0.8,42.7,5.6
3,Stainless_304,0.436,305.6,1.015,0.8,40.6,18.712
4,Carbon_Steel_1045,0.364,122.3,0.321,0.4,14.5,14.387
5,Stainless_304,0.092,211.5,2.383,1.2,2.4,0.393
6,Stainless_304,0.489,105.2,2.182,0.2,50.0,127.298
7,Stainless_304,0.393,198.6,1.75,0.4,52.3,30.766
8,Carbon_Steel_1045,0.404,95.7,2.492,1.2,58.7,10.116
9,Aluminum_6061,0.108,98.5,2.56,0.4,57.6,2.115
10,Aluminum_6061,0.253,233.7,1.867,0.2,38.0,14.116
11,Stainless_304,0.217,129.1,2.906,0.4,53.7,11.203
12,Stainless_304,0.467,101.7,2.229,0.4,26.9,39.62
13,Carbon_Steel_1045,0.34,328.9,2.111,0.8,47.2,8.351
14,Aluminum_6061,0.42,62.9,1.244,0.2,57.3,63.539
15,Aluminum_6061,0.25,219.5,0.256,0.4,47.8,7.449
16,Carbon_Steel_1045,0.152,214.5,0.913,1.2,24.9,0.922
17,Stainless_304,0.3,125.2,2.351,0.2,22.7,37.247
18,Carbon_Steel_1045,0.079,185.8,2.202,1.2,17.5,0.272
19,Carbon_Steel_1045,0.422,76.3,1.16,0.2,22.0,50.603
20,Carbon_Steel_1045,0.334,266.4,1.97,0.4,49.2,21.162
21,Stainless_304,0.391,116.5,0.787,0.8,42.1,15.667
22,Stainless_304,0.21,108.0,0.975,1.2,15.0,2.565
23,Aluminum_6061,0.487,144.5,2.855,0.4,42.7,30.361
24,Carbon_Steel_1045,0.452,320.7,1.386,0.2,22.8,48.843
25,Stainless_304,0.4,288.9,0.924,1.2,33.5,8.708
26,Stainless_304,0.138,334.1,1.59,1.2,22.2,0.983
27,Carbon_Steel_1045,0.26,245.6,1.314,0.8,31.3,5.143
28,Aluminum_6061,0.07,248.9,2.256,0.2,43.8,1.241
29,Carbon_Steel_1045,0.119,194.0,2.896,0.8,43.9,1.176
30,Carbon_Steel_1045,0.357,321.6,1.877,0.4,45.2,17.101
31,Aluminum_6061,0.385,203.3,1.876,0.4,23.5,14.746
32,Stainless_304,0.485,156.5,1.253,0.2,41.4,87.533
33,Aluminum_6061,0.197,242.1,1.803,0.4,14.3,3.539
34,Stainless_304,0.217,213.8,1.128,1.2,28.6,2.802
35,Carbon_Steel_1045,0.261,87.2,0.253,0.2,35.0,19.914
36,Aluminum_6061,0.135,167.8,2.632,1.2,41.2,0.875
37,Carbon_Steel_1045,0.108,144.0,1.431,0.8,54.7,1.14
38,Carbon_Steel_1045,0.264,304.1,1.603,0.8,18.3,3.791
39,Stainless_304,0.152,163.7,0.48,1.2,50.7,1.683
40,Carbon_Steel_1045,0.351,296.5,2.552,0.2,18.7,26.68
