u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
90.878,70.363,105.176,-93.34,97.025,4364.708,-118.766,59.618,80.13,85.9,26.398,53.478,60
72.169,18.742,50.842,-109.82,39.443,2999.974,-123.692,113.114,33.543,30.84,21.441,100.127,14
15.98,23.324,42.904,-5.844,39.446,336.543,-6.953,27.347,56.832,33.836,24.804,18.79,72
16.138,19.001,112.969,-129.953,84.528,3999.957,-203.198,96.444,93.689,57.641,24.863,93.446,15
49.61,18.177,78.793,-60.806,64.053,1249.985,-50.73,146.704,95.538,46.351,24.795,112.587,20
123.059,39.641,67.143,-41.64,58.086,5712.261,-118.044,17.523,52.139,49.304,25.529,15.248,50
127.272,63.865,72.125,22.747,65.672,3007.075,-18.305,-21.466,61.665,61.364,25.788,-16.506,76
51.165,19.611,96.09,-121.148,70.381,1999.974,-129.291,204.097,60.456,50.611,24.862,175.947,4
70.883,26.717,46.373,-15.804,43.09,1477.695,-4.966,29.078,47.135,37.08,24.166,19.4,73
15.53,18.288,113.667,-129.962,84.647,3999.958,-204.208,96.902,92.546,57.678,24.506,93.715,15
131.272,18.988,42.768,-5.207,38.388,4499.956,-84.744,1.042,44.194,31.183,22.114,-0.574,21
94.678,34.472,86.005,-89.985,72.053,4499.967,-121.433,55.406,63.913,57.514,23.355,50.0,43
77.882,85.34,96.795,-105.99,88.568,2122.681,-62.991,163.304,61.882,84.544,25.931,127.755,57
37.031,18.17,21.539,-0.132,19.951,749.99,-2.0,1.096,30.432,19.851,23.336,0.188,16
26.238,19.503,109.357,-128.121,80.114,5499.953,-195.799,66.396,82.794,53.355,19.851,64.014,24
27.234,19.319,114.976,-127.682,86.6,5849.939,-192.521,60.158,92.784,58.204,24.816,58.519,27
27.184,49.719,98.3,-43.453,82.479,720.97,-84.168,193.677,75.027,69.792,24.878,154.956,48
16.661,46.131,90.83,129.583,73.622,4105.394,-199.924,-114.467,71.326,60.657,23.643,-110.405,80
71.426,19.397,33.121,-24.364,31.679,1499.98,-7.818,43.902,54.174,27.359,22.494,30.976,10
23.726,19.216,35.464,-21.936,28.075,499.996,-43.512,132.617,26.968,24.791,22.067,103.482,7
69.962,49.857,103.685,111.29,86.013,2904.247,-99.871,-124.974,80.022,70.553,25.99,-106.945,49
13.693,18.047,39.364,-11.633,31.752,249.99,-43.513,132.618,30.952,26.403,23.068,103.719,13
120.068,70.458,90.905,52.079,83.056,3358.737,-47.501,-46.696,64.52,75.985,26.346,-37.767,60
69.365,18.647,67.065,-111.964,53.342,2999.966,-124.311,113.222,58.958,39.452,23.213,100.0,14
131.184,18.431,28.001,-0.78,29.164,2749.971,-1.993,1.07,37.557,25.597,24.122,-0.778,20
83.092,18.621,49.633,-85.316,42.002,1999.98,-43.511,132.618,47.473,33.242,23.207,101.875,12
131.793,18.563,32.153,-2.995,31.608,3499.963,-46.482,1.17,39.292,26.386,23.594,-0.566,26
131.38,18.763,44.394,-5.245,39.452,4499.955,-83.888,1.053,51.153,32.08,21.936,-0.563,21
119.33,18.929,63.884,-52.019,52.959,5649.946,-118.967,22.714,65.634,38.783,22.588,20.026,31
63.71,18.228,45.974,-112.743,38.018,2452.615,-116.632,146.869,42.038,30.955,23.079,124.74,11
4.169,18.501,19.809,1.479,19.154,100.003,-2.0,1.095,29.4,19.054,22.957,0.452,18
74.798,43.421,91.037,107.366,75.533,5204.404,-144.07,-69.781,86.285,60.633,25.623,-65.367,73
12.071,18.433,19.836,0.751,19.286,250.007,-2.0,1.098,26.407,19.116,23.163,0.115,13
