date,Appliances,T1,RH_1,T2,RH_2,T3,RH_3,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,year,month,day,hour,day_of_week,is_holiday
2016-03-14 01:40:00,40,20.89,35.4,17.76,39.16,20.29,36.9,1.77,768.9,88.33,2.33,63.0,0.0,2016,3,14,1,0,False
2016-01-30 20:00:00,90,21.89,53.1,21.29,45.36,21.63,49.23,2.7,754.6,90.0,3.0,27.0,1.2,2016,1,30,20,5,False
2016-03-15 03:00:00,50,21.39,35.5,17.63,40.53,21.67,35.2,0.2,766.2,83.0,2.0,65.0,-2.4,2016,3,15,3,1,False
2016-04-20 10:10:00,50,21.39,41.03,23.89,34.84,22.03,36.93,8.85,767.8,70.83,5.17,40.0,3.72,2016,4,20,10,2,False
2016-03-13 08:10:00,70,19.96,35.13,16.46,40.13,20.0,36.4,-0.47,769.65,93.33,4.0,48.83,-1.45,2016,3,13,8,6,False
2016-03-22 19:30:00,120,22.5,44.7,20.89,40.59,22.29,38.26,7.55,756.1,78.5,3.5,26.0,3.95,2016,3,22,19,1,False
2016-03-09 16:20:00,120,19.39,36.7,16.89,39.9,19.79,36.63,6.57,745.33,64.33,5.33,40.0,0.23,2016,3,9,16,2,False
2016-04-30 18:10:00,70,22.0,40.47,20.6,40.4,24.2,37.33,9.68,760.67,67.0,6.0,40.0,3.7,2016,4,30,18,5,False
2016-04-12 03:20:00,50,21.89,43.09,19.5,44.73,23.5,40.79,7.6,751.53,88.67,2.67,40.0,5.8,2016,4,12,3,1,False
2016-03-05 21:10:00,70,20.1,37.2,17.73,39.16,20.29,36.59,3.17,744.13,88.33,3.0,22.5,1.37,2016,3,5,21,5,False
2016-01-14 20:10:00,110,22.73,44.1,21.79,40.46,22.0,43.59,3.5,748.85,83.33,8.33,40.0,0.92,2016,1,14,20,3,False
2016-04-06 11:20:00,70,22.0,43.4,21.0,43.53,23.2,39.6,10.03,753.87,70.67,5.33,35.33,4.97,2016,4,6,11,2,False
2016-02-12 18:00:00,100,21.39,41.1,19.5,39.83,21.2,38.72,3.5,740.8,78.0,4.0,40.0,0.0,2016,2,12,18,4,False
2016-03-01 20:30:00,110,21.5,38.97,19.7,39.9,20.82,38.13,6.9,751.85,96.0,8.0,53.0,6.3,2016,3,1,20,1,False
