session_id,session_start_hour,initial_soc_pct,charger_type,vehicle_battery_kwh,station_region,is_weekend,energy_charged_kwh
LZ-EV-000000,3,37.6,rapid_50kw,28.0,murcia,0,16.06
LZ-EV-000001,12,62.0,rapid_50kw,69.8,barcelona,1,14.99
LZ-EV-000002,8,28.2,rapid_50kw,72.8,bilbao,0,20.35
LZ-EV-000003,0,12.2,slow_7kw,69.4,bilbao,0,38.81
LZ-EV-000004,17,53.6,slow_7kw,30.2,bilbao,0,12.51
LZ-EV-000005,4,46.0,ultra_150kw,67.5,valencia,0,31.95
LZ-EV-000006,10,21.8,fast_22kw,72.6,malaga,0,54.21
LZ-EV-000007,20,38.9,slow_7kw,42.3,bilbao,0,24.64
LZ-EV-000008,23,14.4,ultra_150kw,55.0,barcelona,0,49.55
LZ-EV-000009,11,20.5,ultra_150kw,79.9,madrid,1,54.58
LZ-EV-000010,14,73.2,slow_7kw,83.8,sevilla,0,20.51
LZ-EV-000011,22,44.0,rapid_50kw,80.0,valencia,1,26.46
LZ-EV-000012,12,10.7,slow_7kw,76.7,malaga,0,33.45
LZ-EV-000013,7,62.6,fast_22kw,32.8,murcia,0,10.45
LZ-EV-000014,1,64.4,rapid_50kw,76.3,barcelona,1,22.75
LZ-EV-000015,3,2.0,fast_22kw,58.6,zaragoza,0,46.83
LZ-EV-000016,12,90.0,fast_22kw,63.8,barcelona,1,6.48
LZ-EV-000017,11,26.6,slow_7kw,35.3,zaragoza,0,23.84
LZ-EV-000018,12,38.9,rapid_50kw,58.2,bilbao,0,27.99
LZ-EV-000019,3,47.9,fast_22kw,75.8,bilbao,0,37.01
LZ-EV-000020,22,22.9,slow_7kw,84.9,murcia,0,39.35
LZ-EV-000021,4,41.8,rapid_50kw,67.9,madrid,1,38.61
LZ-EV-000022,8,70.2,ultra_150kw,73.4,madrid,0,20.47
LZ-EV-000023,21,50.9,fast_22kw,69.1,barcelona,0,30.89
LZ-EV-000024,0,49.4,rapid_50kw,53.9,bilbao,1,24.78
LZ-EV-000025,12,38.3,ultra_150kw,69.3,murcia,0,25.23
LZ-EV-000026,7,65.3,slow_7kw,58.2,murcia,0,17.49
LZ-EV-000027,15,49.0,fast_22kw,77.4,valencia,0,27.67
LZ-EV-000028,23,29.5,ultra_150kw,66.6,murcia,0,31.39
LZ-EV-000029,11,27.9,slow_7kw,44.9,zaragoza,0,28.17
LZ-EV-000030,1,40.7,slow_7kw,52.6,malaga,0,20.23
LZ-EV-000031,9,9.8,fast_22kw,75.0,barcelona,1,39.71
LZ-EV-000032,12,31.5,rapid_50kw,67.0,malaga,0,27.19
LZ-EV-000033,11,46.8,fast_22kw,77.8,madrid,1,32.51
LZ-EV-000034,20,31.1,fast_22kw,51.0,malaga,1,32.42
LZ-EV-000035,15,44.0,slow_7kw,43.5,murcia,0,21.82
LZ-EV-000036,5,27.0,rapid_50kw,67.6,sevilla,0,24.47
LZ-EV-000037,0,46.4,slow_7kw,71.0,sevilla,1,41.44
LZ-EV-000038,5,62.0,slow_7kw,71.1,valencia,1,26.57
LZ-EV-000039,1,26.9,ultra_150kw,49.2,murcia,1,32.38
LZ-EV-000040,15,30.1,fast_22kw,87.1,sevilla,0,42.06
LZ-EV-000041,23,33.0,fast_22kw,47.1,malaga,0,29.86
LZ-EV-000042,8,22.1,rapid_50kw,68.7,murcia,0,22.35
LZ-EV-000043,20,18.6,fast_22kw,69.3,bilbao,0,31.36
LZ-EV-000044,12,33.1,slow_7kw,43.8,malaga,0,22.76
LZ-EV-000045,4,48.3,fast_22kw,58.0,bilbao,0,28.59
LZ-EV-000046,11,49.1,rapid_50kw,40.7,zaragoza,0,18.99
LZ-EV-000047,16,60.3,rapid_50kw,62.8,bilbao,0,25.01
LZ-EV-000048,2,30.4,fast_22kw,66.3,zaragoza,0,34.24
LZ-EV-000049,17,14.0,ultra_150kw,60.6,malaga,0,49.29
LZ-EV-000050,3,38.4,ultra_150kw,53.0,murcia,0,24.7
LZ-EV-000051,21,27.8,rapid_50kw,69.7,zaragoza,1,22.21
LZ-EV-000052,2,2.0,fast_22kw,79.7,zaragoza,0,24.41
LZ-EV-000053,7,40.4,slow_7kw,38.4,madrid,1,21.11
LZ-EV-000054,23,49.0,fast_22kw,53.2,malaga,0,26.62
LZ-EV-000055,9,44.3,fast_22kw,77.5,barcelona,0,36.61
LZ-EV-000056,8,47.5,slow_7kw,43.8,malaga,0,22.81
LZ-EV-000057,17,47.5,fast_22kw,75.3,barcelona,0,34.25
LZ-EV-000058,14,56.6,fast_22kw,67.4,murcia,0,25.85
LZ-EV-000059,5,35.0,slow_7kw,44.0,madrid,0,27.62
LZ-EV-000060,20,47.1,fast_22kw,43.7,barcelona,1,22.4
LZ-EV-000061,17,46.0,fast_22kw,83.3,murcia,1,43.36
LZ-EV-000062,19,43.5,ultra_150kw,53.2,valencia,0,26.08
LZ-EV-000063,15,42.1,slow_7kw,64.2,valencia,0,31.5
LZ-EV-000064,21,40.8,ultra_150kw,80.0,zaragoza,0,37.42
LZ-EV-000065,19,57.7,ultra_150kw,45.1,valencia,1,19.01
LZ-EV-000066,1,2.0,fast_22kw,78.8,zaragoza,0,45.26
LZ-EV-000067,2,20.0,slow_7kw,44.8,madrid,0,35.2
LZ-EV-000068,11,46.5,rapid_50kw,75.9,malaga,0,26.09
LZ-EV-000069,7,48.4,slow_7kw,62.8,murcia,0,29.53
LZ-EV-000070,6,30.3,slow_7kw,92.0,madrid,1,49.67
LZ-EV-000071,0,59.7,fast_22kw,63.9,barcelona,0,24.69
LZ-EV-000072,5,29.5,fast_22kw,81.1,murcia,0,49.55
LZ-EV-000073,22,10.1,fast_22kw,64.7,zaragoza,0,47.43
LZ-EV-000074,19,29.7,slow_7kw,47.5,zaragoza,0,28.64
LZ-EV-000075,1,57.1,slow_7kw,91.2,malaga,0,36.51
LZ-EV-000076,20,48.8,fast_22kw,46.9,madrid,0,21.72
LZ-EV-000077,14,36.4,rapid_50kw,46.6,bilbao,0,24.3
LZ-EV-000078,2,5.5,rapid_50kw,90.9,barcelona,0,27.81
LZ-EV-000079,7,63.6,slow_7kw,41.2,madrid,1,14.42
LZ-EV-000080,3,63.7,fast_22kw,70.0,murcia,0,24.1
LZ-EV-000081,0,31.8,fast_22kw,75.8,bilbao,0,35.87
LZ-EV-000082,4,47.2,fast_22kw,67.7,valencia,1,33.55
LZ-EV-000083,22,51.1,ultra_150kw,44.9,sevilla,0,20.15
LZ-EV-000084,22,51.0,rapid_50kw,88.0,zaragoza,0,32.73
LZ-EV-000085,0,53.2,fast_22kw,76.0,barcelona,1,34.14
LZ-EV-000086,17,26.3,fast_22kw,75.4,malaga,0,16.26
LZ-EV-000087,19,9.6,ultra_150kw,49.0,madrid,0,40.18
LZ-EV-000088,11,17.5,fast_22kw,67.0,barcelona,1,21.95
LZ-EV-000089,23,60.8,rapid_50kw,65.5,valencia,1,12.82
LZ-EV-000090,14,44.0,rapid_50kw,61.1,zaragoza,0,31.38
LZ-EV-000091,19,64.5,rapid_50kw,76.6,madrid,0,18.35
LZ-EV-000092,15,47.7,fast_22kw,51.3,malaga,0,25.16
LZ-EV-000093,1,48.9,fast_22kw,55.6,barcelona,0,27.65
LZ-EV-000094,13,24.2,rapid_50kw,77.2,madrid,0,49.83
LZ-EV-000095,10,14.7,slow_7kw,57.2,madrid,1,41.4
LZ-EV-000096,21,34.1,rapid_50kw,65.3,malaga,0,30.85
LZ-EV-000097,9,31.7,fast_22kw,35.1,bilbao,0,21.88
LZ-EV-000098,6,29.3,fast_22kw,87.7,sevilla,1,34.47
LZ-EV-000099,2,36.0,fast_22kw,41.7,sevilla,1,25.86
LZ-EV-000100,4,57.4,fast_22kw,82.3,sevilla,0,30.01
LZ-EV-000101,8,37.6,rapid_50kw,78.0,barcelona,0,23.99
LZ-EV-000102,17,38.9,fast_22kw,66.3,madrid,0,37.79
LZ-EV-000103,6,24.1,slow_7kw,69.4,murcia,0,50.14
LZ-EV-000104,10,22.8,rapid_50kw,68.3,zaragoza,1,27.7
LZ-EV-000105,21,58.7,fast_22kw,42.3,madrid,0,16.79
LZ-EV-000106,19,65.0,fast_22kw,68.1,malaga,1,20.68
LZ-EV-000107,12,27.6,ultra_150kw,66.5,murcia,0,34.18
