meter_id,tariff_type,monthly_consumption_m3,baseline_consumption_m3,heating_degree_days,building_age_years,meter_age_years,is_anomaly
LZ-GAS-000000,residential,177.6,176.3,277.0,59.5,25.8,0
LZ-GAS-000001,commercial,871.0,809.9,258.0,59.1,14.3,0
LZ-GAS-000002,commercial,671.2,623.2,180.0,72.4,29.9,0
LZ-GAS-000003,residential,153.6,143.7,218.0,66.7,23.8,0
LZ-GAS-000004,residential,99.2,101.0,138.0,51.6,15.5,0
LZ-GAS-000005,commercial,1080.5,1143.0,396.0,26.1,4.6,0
LZ-GAS-000006,residential,228.0,242.5,400.0,39.5,14.3,0
LZ-GAS-000007,commercial,713.8,693.6,215.0,22.3,11.2,0
LZ-GAS-000008,commercial,663.9,721.0,223.0,26.9,12.2,0
LZ-GAS-000009,residential,166.8,168.8,259.0,36.8,12.3,0
LZ-GAS-000010,residential,224.8,213.3,340.0,33.9,13.5,0
LZ-GAS-000011,residential,165.4,160.7,252.0,23.2,16.3,0
LZ-GAS-000012,residential,114.8,113.9,162.0,24.4,7.7,0
LZ-GAS-000013,residential,120.6,129.4,192.0,24.9,11.3,0
LZ-GAS-000014,residential,173.4,167.9,259.0,15.3,12.3,0
LZ-GAS-000015,residential,226.8,137.5,203.0,46.6,17.7,1
LZ-GAS-000016,industrial,1979.9,2008.4,172.0,7.4,12.3,0
LZ-GAS-000017,commercial,1080.0,1104.6,384.0,19.9,18.9,0
LZ-GAS-000018,residential,168.9,182.2,278.0,13.7,7.8,0
LZ-GAS-000019,industrial,2968.1,3261.2,343.0,56.5,21.3,0
LZ-GAS-000020,residential,86.7,85.7,107.0,22.4,0.0,0
LZ-GAS-000021,residential,208.2,207.7,332.0,8.0,6.4,0
LZ-GAS-000022,residential,151.9,153.9,227.0,65.7,25.9,0
LZ-GAS-000023,residential,121.2,128.2,190.0,35.0,9.2,0
LZ-GAS-000024,residential,105.9,95.1,134.0,64.3,28.9,0
LZ-GAS-000025,residential,93.0,101.6,140.0,25.7,3.1,0
LZ-GAS-000026,residential,117.0,112.2,162.0,27.7,19.8,0
LZ-GAS-000027,industrial,2223.6,2282.9,239.0,44.7,14.7,0
LZ-GAS-000028,residential,141.4,139.9,213.0,5.6,2.4,0
LZ-GAS-000029,residential,290.4,288.1,480.0,78.2,23.2,0
LZ-GAS-000030,residential,173.2,181.9,287.0,10.7,7.4,0
LZ-GAS-000031,residential,176.8,166.5,256.0,73.1,19.3,0
LZ-GAS-000032,residential,144.0,142.8,212.0,52.8,12.4,0
LZ-GAS-000033,residential,93.2,92.1,120.0,61.1,18.7,0
LZ-GAS-000034,residential,87.7,87.5,118.0,16.8,15.1,0
LZ-GAS-000035,residential,166.3,175.4,271.0,71.4,26.0,0
LZ-GAS-000036,residential,50.3,41.9,25.0,42.9,23.6,0
LZ-GAS-000037,residential,258.3,264.2,436.0,33.1,11.3,0
LZ-GAS-000038,commercial,1165.9,1205.7,429.0,15.4,8.2,0
LZ-GAS-000039,residential,50.7,42.9,31.0,13.7,7.8,0
LZ-GAS-000040,residential,220.5,236.8,383.0,69.0,24.1,0
LZ-GAS-000041,commercial,1121.3,1065.4,369.0,77.6,27.8,0
LZ-GAS-000042,residential,271.6,230.3,372.0,33.5,23.3,0
LZ-GAS-000043,commercial,948.1,916.9,313.0,57.9,24.1,0
LZ-GAS-000044,residential,271.8,262.8,439.0,55.9,20.9,0
LZ-GAS-000045,commercial,470.5,456.3,119.0,39.5,22.8,0
LZ-GAS-000046,residential,103.5,114.8,165.0,38.4,11.8,0
LZ-GAS-000047,residential,204.0,191.9,304.0,44.3,10.6,0
LZ-GAS-000048,residential,165.0,151.4,232.0,27.7,16.4,0
LZ-GAS-000049,commercial,259.8,256.8,38.0,59.6,21.8,0
LZ-GAS-000050,residential,196.9,207.9,332.0,33.4,15.0,0
LZ-GAS-000051,residential,83.0,223.3,359.0,40.4,20.9,1
LZ-GAS-000052,residential,135.7,132.7,197.0,14.5,8.0,0
LZ-GAS-000053,residential,167.2,175.4,275.0,78.1,25.0,0
LZ-GAS-000054,residential,222.6,217.5,350.0,6.2,9.5,0
LZ-GAS-000055,residential,22.7,23.8,0.0,57.4,23.7,0
LZ-GAS-000056,commercial,491.9,550.9,152.0,52.9,24.2,0
LZ-GAS-000057,residential,88.7,84.8,111.0,27.6,13.6,0
LZ-GAS-000058,industrial,1991.9,2093.9,206.0,78.1,26.9,0
LZ-GAS-000059,residential,56.1,63.2,63.0,2.9,0.0,0
LZ-GAS-000060,residential,59.7,58.1,59.0,21.8,17.7,0
LZ-GAS-000061,residential,165.9,165.9,253.0,27.0,4.9,0
LZ-GAS-000062,residential,283.7,279.7,464.0,51.4,18.7,0
LZ-GAS-000063,residential,63.4,59.8,64.0,47.2,30.0,0
LZ-GAS-000064,residential,258.2,264.3,435.0,56.9,18.7,0
LZ-GAS-000065,residential,222.1,217.7,350.0,68.8,15.3,0
LZ-GAS-000066,residential,228.4,220.4,356.0,1.5,14.5,0
LZ-GAS-000067,residential,256.3,241.6,397.0,44.9,14.5,0
LZ-GAS-000068,industrial,1931.3,2045.7,170.0,32.1,13.3,0
LZ-GAS-000069,residential,219.0,229.6,372.0,55.1,19.0,0
LZ-GAS-000070,residential,47.6,44.2,28.0,42.2,20.3,0
LZ-GAS-000071,residential,102.7,89.9,121.0,27.9,16.9,0
LZ-GAS-000072,commercial,838.6,819.7,269.0,0.6,5.6,0
LZ-GAS-000073,residential,208.2,204.1,326.0,24.9,17.9,0
LZ-GAS-000074,residential,41.4,46.4,46.0,35.7,10.5,0
LZ-GAS-000075,commercial,183.1,167.0,0.0,27.0,16.2,0
LZ-GAS-000076,industrial,2632.8,2567.5,279.0,30.3,10.5,0
LZ-GAS-000077,industrial,2460.3,2566.2,264.0,52.1,22.6,0
LZ-GAS-000078,residential,208.3,199.0,316.0,26.8,9.4,0
LZ-GAS-000079,residential,140.0,144.0,216.0,68.1,20.9,0
LZ-GAS-000080,residential,56.7,57.3,55.0,28.9,20.7,0
LZ-GAS-000081,industrial,1462.4,3338.2,373.0,34.8,9.1,1
LZ-GAS-000082,residential,237.6,206.8,327.0,34.7,8.8,0
LZ-GAS-000083,residential,164.6,162.4,248.0,72.3,27.0,0
LZ-GAS-000084,commercial,1231.4,1299.6,480.0,48.4,16.8,0
LZ-GAS-000085,residential,171.3,166.6,257.0,77.2,23.2,0
LZ-GAS-000086,residential,244.3,254.5,423.0,0.4,5.4,0
LZ-GAS-000087,residential,131.6,140.6,208.0,76.4,30.0,0
LZ-GAS-000088,residential,25.7,27.5,0.0,15.6,4.8,0
LZ-GAS-000089,residential,66.1,68.4,74.0,71.8,22.6,0
LZ-GAS-000090,residential,22.1,25.6,0.0,3.5,7.7,0
LZ-GAS-000091,commercial,655.0,647.9,195.0,68.5,18.5,0
LZ-GAS-000092,residential,220.2,230.6,379.0,50.6,18.5,0
LZ-GAS-000093,residential,30.2,28.1,3.0,54.8,22.2,0
LZ-GAS-000094,residential,184.7,201.4,320.0,31.3,9.3,0
LZ-GAS-000095,commercial,620.2,631.6,190.0,31.0,19.4,0
LZ-GAS-000096,residential,194.2,211.5,344.0,12.5,3.4,0
LZ-GAS-000097,residential,83.9,173.4,275.0,11.2,8.1,1
LZ-GAS-000098,residential,81.3,76.8,96.0,49.9,20.2,0
LZ-GAS-000099,residential,196.8,192.7,302.0,27.4,28.8,0
LZ-GAS-000100,industrial,2403.7,2332.3,221.0,2.3,0.0,0
LZ-GAS-000101,residential,201.5,212.4,344.0,13.6,10.8,0
LZ-GAS-000102,residential,287.2,290.5,480.0,13.6,22.0,0
LZ-GAS-000103,residential,130.3,137.6,201.0,15.5,6.9,0
LZ-GAS-000104,commercial,406.9,1241.4,441.0,36.3,20.6,1
LZ-GAS-000105,residential,136.7,142.2,214.0,72.8,25.3,0
