row_id,municipio,censal_area,month,mean_temperature_c,household_income_index,building_type,avg_household_size,current_heating_source,distance_to_gas_network_m,competitor_price_delta_pct,marketing_touches,referral_lead,potential_daily_consumption_m3,potential_daily_revenue_eur,signed_contract
20240101_rv_centro,rincon_de_la_victoria,rv_centro,1,10.7,58,apartment,2.6,electric,150,6.0,2,0,2.5,1.9,0
20240101_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,11.4,52,apartment,2.8,butane_lpg,650,6.6,2,0,2.09,1.55,0
20240101_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,8.3,72,detached_house,3.0,electric,900,0.6,1,1,4.1,3.19,0
20240101_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,10.9,44,terraced_house,3.2,none,1800,-12.3,1,0,3.33,2.6,0
20240101_me_casco_historico,miranda_de_ebro,me_casco_historico,1,2.0,48,apartment,2.4,diesel,120,-2.8,3,0,5.57,4.36,1
20240101_me_ircio,miranda_de_ebro,me_ircio,1,-0.0,55,apartment,2.7,electric,400,23.0,1,0,5.87,4.57,1
20240101_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,1.7,40,terraced_house,3.1,diesel,700,17.4,3,0,7.11,5.79,0
20240101_me_bayas,miranda_de_ebro,me_bayas,1,-0.9,50,detached_house,3.4,butane_lpg,1600,-4.9,3,0,7.98,6.16,0
20240102_rv_centro,rincon_de_la_victoria,rv_centro,1,12.7,58,apartment,2.6,electric,150,-1.3,1,0,2.22,1.7,0
20240102_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,12.2,52,apartment,2.8,butane_lpg,650,9.5,3,0,2.7,1.97,0
20240102_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,8.0,72,detached_house,3.0,electric,900,-0.0,3,0,4.43,3.43,0
20240102_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,11.6,44,terraced_house,3.2,none,1800,8.2,1,0,3.09,2.5,0
20240102_me_casco_historico,miranda_de_ebro,me_casco_historico,1,1.0,48,apartment,2.4,diesel,120,3.9,3,0,3.95,3.17,0
20240102_me_ircio,miranda_de_ebro,me_ircio,1,-0.3,55,apartment,2.7,electric,400,10.8,4,0,6.34,4.84,0
20240102_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.7,40,terraced_house,3.1,diesel,700,-4.9,1,0,6.53,4.96,0
20240102_me_bayas,miranda_de_ebro,me_bayas,1,0.3,50,detached_house,3.4,butane_lpg,1600,-2.6,3,0,7.19,5.38,0
20240103_rv_centro,rincon_de_la_victoria,rv_centro,1,11.1,58,apartment,2.6,electric,150,17.1,4,0,2.78,2.12,1
20240103_rv_torre_benagalbon,rincon_de_la_victoria,rv_torre_benagalbon,1,10.5,52,apartment,2.8,butane_lpg,650,-8.1,1,0,2.81,2.15,0
20240103_rv_cala_del_moral,rincon_de_la_victoria,rv_cala_del_moral,1,11.5,72,detached_house,3.0,electric,900,-0.0,0,0,3.49,2.66,0
20240103_rv_benagalbon_pueblo,rincon_de_la_victoria,rv_benagalbon_pueblo,1,8.9,44,terraced_house,3.2,none,1800,12.5,1,0,5.09,3.9,0
20240103_me_casco_historico,miranda_de_ebro,me_casco_historico,1,2.7,48,apartment,2.4,diesel,120,-9.5,1,0,3.97,2.89,0
20240103_me_ircio,miranda_de_ebro,me_ircio,1,1.8,55,apartment,2.7,electric,400,-7.2,4,0,4.28,3.14,0
20240103_me_industrial_norte,miranda_de_ebro,me_industrial_norte,1,0.5,40,terraced_house,3.1,diesel,700,-6.7,0,0,5.67,4.31,0
20240103_me_bayas,miranda_de_ebro,me_bayas,1,-0.6,50,detached_house,3.4,butane_lpg,1600,-5.9,2,0,9.48,7.37,0
20240104_rv_centro,rincon_de_la_victoria,rv_centro,1,10.6,58,apartment,2.6,electric,150,-11.5,1,0,3.22,2.51,0
