row_id,region,month,is_weekend,is_holiday,mean_temperature_c,population_thousands,industrial_index,demand_mwh
20240101_andalucia,andalucia,1,0,1,10.2,8500,45,212019.6
20240101_cataluna,cataluna,1,0,1,8.3,7700,75,300265.0
20240101_madrid,madrid,1,0,1,1.6,6700,55,331938.4
20240101_valenciana,valenciana,1,0,1,9.9,5100,60,150808.7
20240101_galicia,galicia,1,0,1,8.1,2700,35,71721.2
20240101_castilla_y_leon,castilla_y_leon,1,0,1,2.0,2380,30,102523.6
20240101_pais_vasco,pais_vasco,1,0,1,6.8,2200,80,99619.3
20240101_castilla_la_mancha,castilla_la_mancha,1,0,1,4.0,2050,25,67240.3
20240101_canarias,canarias,1,0,1,17.6,2170,20,32369.0
20240101_murcia,murcia,1,0,1,11.5,1550,40,36024.5
20240101_aragon,aragon,1,0,1,3.0,1330,40,54078.8
20240101_baleares,baleares,1,0,1,12.4,1200,15,20690.0
20240101_extremadura,extremadura,1,0,1,5.2,1060,20,30953.0
20240101_asturias,asturias,1,0,1,8.4,1010,45,30480.1
20240101_navarra,navarra,1,0,1,3.9,660,55,30153.9
20240101_cantabria,cantabria,1,0,1,11.6,580,35,12543.3
20240101_la_rioja,la_rioja,1,0,1,3.1,320,40,12913.1
20240102_andalucia,andalucia,1,0,0,10.6,8500,45,271032.3
20240102_cataluna,cataluna,1,0,0,7.1,7700,75,353237.9
20240102_madrid,madrid,1,0,0,3.1,6700,55,384722.9
20240102_valenciana,valenciana,1,0,0,10.7,5100,60,175669.8
20240102_galicia,galicia,1,0,0,7.2,2700,35,95214.3
20240102_castilla_y_leon,castilla_y_leon,1,0,0,0.9,2380,30,127135.2
20240102_pais_vasco,pais_vasco,1,0,0,7.9,2200,80,103479.7
20240102_castilla_la_mancha,castilla_la_mancha,1,0,0,4.2,2050,25,81322.6
20240102_canarias,canarias,1,0,0,17.5,2170,20,41257.9
20240102_murcia,murcia,1,0,0,8.2,1550,40,51882.8
20240102_aragon,aragon,1,0,0,2.6,1330,40,65862.0
20240102_baleares,baleares,1,0,0,10.3,1200,15,29939.3
20240102_extremadura,extremadura,1,0,0,4.5,1060,20,40833.1
20240102_asturias,asturias,1,0,0,5.3,1010,45,43434.8
20240102_navarra,navarra,1,0,0,3.5,660,55,36792.4
20240102_cantabria,cantabria,1,0,0,9.6,580,35,17770.6
20240102_la_rioja,la_rioja,1,0,0,3.2,320,40,15244.4
20240103_andalucia,andalucia,1,0,0,10.9,8500,45,248960.6
20240103_cataluna,cataluna,1,0,0,5.4,7700,75,393149.6
20240103_madrid,madrid,1,0,0,2.9,6700,55,386642.5
20240103_valenciana,valenciana,1,0,0,9.9,5100,60,187078.5
20240103_galicia,galicia,1,0,0,7.5,2700,35,92744.5
20240103_castilla_y_leon,castilla_y_leon,1,0,0,1.6,2380,30,117921.3
20240103_pais_vasco,pais_vasco,1,0,0,7.3,2200,80,103397.9
20240103_castilla_la_mancha,castilla_la_mancha,1,0,0,2.7,2050,25,88835.4
20240103_canarias,canarias,1,0,0,15.4,2170,20,42423.9
20240103_murcia,murcia,1,0,0,9.5,1550,40,48055.6
20240103_aragon,aragon,1,0,0,3.9,1330,40,63203.0
20240103_baleares,baleares,1,0,0,11.6,1200,15,25556.1
20240103_extremadura,extremadura,1,0,0,5.1,1060,20,37115.0
20240103_asturias,asturias,1,0,0,5.3,1010,45,41165.8
20240103_navarra,navarra,1,0,0,1.3,660,55,39693.8
20240103_cantabria,cantabria,1,0,0,9.2,580,35,16830.0
20240103_la_rioja,la_rioja,1,0,0,3.2,320,40,16741.8
20240104_andalucia,andalucia,1,0,0,9.2,8500,45,291766.9
20240104_cataluna,cataluna,1,0,0,5.8,7700,75,398346.2
20240104_madrid,madrid,1,0,0,2.9,6700,55,372956.0
20240104_valenciana,valenciana,1,0,0,10.8,5100,60,156050.1
20240104_galicia,galicia,1,0,0,8.7,2700,35,85614.4
20240104_castilla_y_leon,castilla_y_leon,1,0,0,-0.1,2380,30,126287.0
20240104_pais_vasco,pais_vasco,1,0,0,6.7,2200,80,108422.8
20240104_castilla_la_mancha,castilla_la_mancha,1,0,0,3.5,2050,25,85469.6
20240104_canarias,canarias,1,0,0,19.3,2170,20,39813.9
20240104_murcia,murcia,1,0,0,8.7,1550,40,51182.3
20240104_aragon,aragon,1,0,0,3.5,1330,40,68145.0
20240104_baleares,baleares,1,0,0,11.8,1200,15,25828.0
20240104_extremadura,extremadura,1,0,0,7.7,1060,20,29021.0
20240104_asturias,asturias,1,0,0,6.7,1010,45,37978.5
20240104_navarra,navarra,1,0,0,2.6,660,55,35486.2
20240104_cantabria,cantabria,1,0,0,9.5,580,35,17051.3
20240104_la_rioja,la_rioja,1,0,0,1.6,320,40,16722.0
20240105_andalucia,andalucia,1,0,0,10.1,8500,45,276028.2
20240105_cataluna,cataluna,1,0,0,9.9,7700,75,349062.2
20240105_madrid,madrid,1,0,0,4.7,6700,55,314178.3
20240105_valenciana,valenciana,1,0,0,6.6,5100,60,229778.9
20240105_galicia,galicia,1,0,0,6.9,2700,35,93951.2
20240105_castilla_y_leon,castilla_y_leon,1,0,0,-0.2,2380,30,135355.8
20240105_pais_vasco,pais_vasco,1,0,0,8.1,2200,80,101672.3
20240105_castilla_la_mancha,castilla_la_mancha,1,0,0,2.9,2050,25,84627.1
20240105_canarias,canarias,1,0,0,14.7,2170,20,41283.9
