Plate_ID,Steel_Type,Steel_Plate_Thickness,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Edges_Index,Square_Index,Orientation_Index,Luminosity_Index,Length_of_Conveyer,Needs_Manual_Review
1,A300,80,267,17,44,24220,76,108,0.0498,0.1818,0.8182,-0.2913,1687,0
2,A300,80,108,10,30,11397,84,123,0.7647,0.2069,0.7931,-0.1756,1687,0
3,A300,100,71,8,19,7972,99,125,0.971,0.3333,0.6667,-0.1228,1623,0
4,A400,290,176,13,45,18996,99,126,0.7287,0.1556,0.8444,-0.1568,1353,0
5,A400,185,2409,60,260,246930,37,126,0.0695,0.0662,0.9338,-0.1992,1353,0
6,A400,40,630,20,87,62357,64,127,0.62,0.1264,0.8736,-0.2267,1387,0
7,A400,150,9052,230,432,1481991,23,199,0.4896,0.0795,0.9205,0.2791,1687,0
8,A400,150,132,11,20,20007,124,172,0.2253,0.5,0.5,0.1841,1687,0
9,A400,150,264,15,26,29748,53,148,0.3912,0.5,0.5,-0.1197,1687,0
10,A400,150,1506,46,167,180215,53,143,0.0877,0.0976,0.9024,-0.0651,1687,0
11,A400,150,442,13,48,50393,76,143,0.1257,0.25,0.75,-0.1093,1687,0
12,A400,150,284,42,69,31062,97,119,0.5987,0.1563,0.8438,-0.1455,1687,0
13,A400,150,480,15,54,61966,102,158,0.0545,0.2222,0.7778,0.0086,1687,0
14,A400,150,433,22,60,38917,62,111,0.6888,0.15,0.85,-0.2978,1687,0
15,A400,150,728,30,68,69258,36,133,0.5347,0.2308,0.7692,-0.2568,1687,0
16,A400,150,1097,59,133,119540,50,134,0.7931,0.1136,0.8864,-0.1487,1687,0
17,A400,150,5044,167,282,570911,11,143,0.1849,0.1343,0.8657,-0.1157,1687,0
18,A400,150,552,38,76,59750,79,134,0.1067,0.1918,0.8082,-0.1543,1687,0
19,A400,150,137,8,25,14907,92,126,0.0972,0.28,0.72,-0.1499,1687,0
20,A400,200,209,15,27,24807,96,141,0.0877,0.4444,0.5556,-0.0727,1687,0
21,A400,200,284,18,34,32604,87,141,0.0202,0.3235,0.6765,-0.1031,1687,0
22,A400,200,153,13,29,17753,101,134,0.051,0.3103,0.6897,-0.0935,1687,0
