RecordID,weekly_sales,size,cpi,unemployment,temperature,fuel_price,dept,store,type,month
1,4524.05,202505,211.99,7.09,65.68,2.81,37,6,A,4
2,30175.46,126512,126.44,9.77,54.34,2.96,3,10,B,2
3,453.0,203750,211.0,8.2,87.01,2.65,54,31,A,6
4,19695.72,93188,129.9,6.62,21.07,3.28,74,17,B,12
5,16062.3,70713,191.92,8.82,17.3,3.05,46,7,B,2
6,17355.76,202307,211.26,8.1,88.7,2.66,25,2,A,8
7,111.65,39910,130.98,5.41,68.55,3.75,18,44,C,9
8,1029.6,151315,211.41,7.84,52.33,2.89,60,1,A,12
9,14749.31,196321,199.15,6.2,49.56,3.75,11,41,A,10
10,1758.86,203819,132.22,8.19,57.53,3.1,52,19,A,5
11,2060.28,42988,219.9,7.06,46.52,3.41,67,30,C,2
12,6915.46,196321,190.97,7.51,33.9,2.73,21,41,A,12
13,63686.12,196321,189.42,7.36,54.9,2.67,90,41,A,6
14,2616.45,158114,126.15,9.82,78.53,2.62,44,34,A,7
15,1451.0,37392,218.89,7.57,84.41,3.79,35,3,B,5
16,24264.4,112238,130.74,12.19,54.54,4.25,34,12,B,3
17,53511.32,152513,135.27,7.82,56.94,3.85,90,26,A,6
18,26681.21,203819,138.28,8.95,68.13,4.0,80,24,A,8
19,9978.34,206302,129.11,13.5,89.9,3.7,26,28,A,7
20,29.58,39910,126.15,7.8,71.33,2.8,85,44,C,7
21,48.0,37392,223.92,6.83,52.39,3.51,54,3,B,2
22,2520.37,57197,192.01,6.61,31.77,3.23,26,16,B,3
23,805.48,34875,221.8,5.94,63.55,3.73,31,5,B,3
24,28139.83,204184,136.63,8.02,70.19,2.84,81,27,A,10
25,15038.68,155083,138.12,4.12,55.78,3.75,82,40,A,6
26,22249.7,203750,221.68,6.56,85.55,3.57,10,31,A,8
27,9642.39,203742,204.67,7.86,67.32,2.81,3,20,A,6
28,466.4,205863,129.09,5.64,84.54,3.5,60,4,A,7
29,3753.29,200898,183.18,8.55,24.05,3.24,18,14,A,1
30,14.4,39690,126.1,9.5,90.82,3.09,9,33,A,9
31,25616.09,203750,217.33,7.44,65.46,3.37,1,31,A,10
32,6307.24,204184,135.52,8.24,36.0,2.91,32,27,A,2
33,1914.71,118221,187.26,8.62,70.66,3.64,52,45,B,9
34,7211.18,39910,210.13,8.36,81.88,2.6,97,36,A,7
35,65680.5,120653,131.86,9.2,47.55,2.83,2,18,B,3
36,12860.58,119557,136.46,8.43,76.35,2.79,81,22,B,7
