row_id,unit_number,time_in_cycles,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,RUL
1_1,1,1,-0.0007,-0.0004,641.82,1589.7,1400.6,21.61,554.36,2388.06,9046.19,47.47,521.66,2388.02,8138.62,8.4195,392,39.06,23.419,191
1_4,1,4,0.0007,0.0,642.35,1582.79,1401.87,21.61,554.45,2388.11,9049.48,47.13,522.86,2388.08,8133.83,8.3682,392,38.88,23.3739,188
1_6,1,6,-0.0043,-0.0001,642.1,1584.47,1398.37,21.61,554.67,2388.02,9049.68,47.16,521.68,2388.03,8132.85,8.4108,391,38.98,23.3669,186
1_7,1,7,0.001,0.0001,642.48,1592.32,1397.77,21.61,554.34,2388.02,9059.13,47.36,522.32,2388.03,8132.32,8.3974,392,39.1,23.3774,185
1_8,1,8,-0.0034,0.0003,642.56,1582.96,1400.97,21.61,553.85,2388.0,9040.8,47.24,522.47,2388.03,8131.07,8.4076,391,38.97,23.3106,184
1_9,1,9,0.0008,0.0001,642.12,1590.98,1394.8,21.61,553.69,2388.05,9046.46,47.29,521.79,2388.05,8125.69,8.3728,392,39.05,23.4066,183
1_15,1,15,-0.0018,-0.0003,642.43,1583.82,1402.13,21.61,553.64,2388.11,9052.22,47.3,522.5,2388.08,8127.56,8.4199,391,38.99,23.35,177
1_16,1,16,0.0006,0.0005,642.13,1587.98,1404.5,21.61,553.94,2388.05,9049.34,47.24,521.49,2388.07,8136.11,8.3936,392,38.97,23.455,176
1_18,1,18,-0.0031,-0.0001,642.62,1591.04,1396.12,21.61,554.2,2388.05,9049.55,47.21,521.76,2388.07,8132.73,8.4028,392,38.89,23.3987,174
1_20,1,20,-0.0037,0.0001,643.04,1581.11,1405.23,21.61,554.81,2388.05,9045.9,47.22,522.07,2388.02,8129.71,8.421,392,39.03,23.422,172
1_21,1,21,-0.0012,0.0001,642.37,1586.07,1398.13,21.61,554.08,2388.11,9048.15,47.15,522.42,2388.08,8134.02,8.4049,392,39.09,23.3101,171
1_24,1,24,-0.001,0.0003,642.38,1590.83,1398.81,21.61,553.49,2388.12,9043.76,47.44,522.13,2388.03,8133.88,8.3891,392,39.0,23.3696,168
1_28,1,28,-0.0024,0.0005,642.35,1582.84,1399.13,21.61,554.68,2388.12,9049.84,47.41,522.57,2388.08,8127.3,8.4323,390,39.01,23.2841,164
1_30,1,30,-0.0022,0.0,642.2,1593.52,1396.08,21.61,554.37,2388.07,9045.62,47.4,522.19,2388.0,8137.86,8.4065,390,39.05,23.411,162
1_31,1,31,0.0014,0.0005,642.02,1584.18,1396.9,21.61,554.13,2388.08,9058.78,47.41,521.95,2388.06,8125.28,8.4104,392,38.94,23.3353,161
1_32,1,32,0.0005,-0.0003,642.33,1591.38,1400.36,21.61,554.96,2388.04,9050.97,47.25,521.92,2388.07,8129.7,8.4148,392,39.02,23.4999,160
1_34,1,34,0.0015,-0.0001,642.54,1581.47,1400.48,21.61,554.3,2388.03,9046.46,47.47,521.7,2388.09,8126.61,8.4349,392,38.81,23.3092,158
1_35,1,35,0.0003,0.0002,642.44,1590.0,1403.0,21.61,554.3,2388.04,9045.76,47.31,521.75,2388.01,8140.17,8.443,391,39.13,23.4164,157
1_36,1,36,-0.0004,-0.0002,642.54,1581.72,1405.54,21.61,554.53,2388.01,9044.56,47.25,522.32,2388.04,8132.48,8.4246,392,38.86,23.4308,156
1_37,1,37,-0.0004,-0.0,641.99,1579.11,1398.9,21.61,554.63,2388.07,9055.44,47.29,522.29,2388.04,8131.95,8.4142,392,38.99,23.4352,155
1_39,1,39,-0.003,-0.0001,642.01,1583.21,1400.69,21.61,553.97,2388.02,9051.76,47.12,522.23,2388.05,8131.81,8.414,392,38.7,23.3699,153
1_40,1,40,-0.0,-0.0004,642.24,1582.08,1401.77,21.61,554.57,2388.06,9052.98,47.33,521.84,2388.01,8131.03,8.3784,392,38.84,23.3769,152
1_42,1,42,0.0005,-0.0004,642.12,1584.66,1401.38,21.61,553.94,2388.08,9057.06,47.49,522.23,2388.05,8130.88,8.4137,392,39.0,23.375,150
1_43,1,43,-0.0027,0.0005,642.24,1591.52,1406.05,21.61,553.68,2388.03,9057.88,47.32,522.74,2388.09,8127.22,8.4068,392,38.99,23.3148,149
1_44,1,44,-0.0001,0.0002,641.93,1586.94,1401.2,21.61,554.15,2388.04,9046.87,47.45,522.3,2388.0,8131.45,8.4201,392,39.06,23.4753,148
1_47,1,47,0.0,0.0005,642.21,1580.32,1402.89,21.61,554.38,2388.06,9052.04,47.22,521.84,2388.05,8126.21,8.3973,392,38.99,23.4873,145
1_48,1,48,0.0019,0.0001,641.89,1588.51,1399.16,21.61,554.02,2388.08,9045.26,47.4,521.91,2388.06,8129.99,8.4376,392,38.94,23.365,144
1_50,1,50,-0.0032,-0.0001,642.77,1588.49,1403.62,21.61,553.92,2388.06,9048.6,47.47,522.33,2388.09,8127.3,8.4116,392,38.85,23.4106,142
1_51,1,51,-0.001,0.0003,642.81,1585.54,1400.42,21.61,553.73,2388.02,9047.09,47.12,521.91,2388.05,8134.36,8.4504,393,38.94,23.3651,141
1_52,1,52,0.0018,-0.0001,642.76,1583.77,1395.57,21.61,553.04,2388.04,9056.01,47.07,522.1,2388.07,8132.82,8.4539,391,39.0,23.3388,140
1_53,1,53,0.0021,-0.0001,642.61,1579.82,1402.26,21.61,554.16,2388.05,9051.15,47.29,521.96,2388.06,8134.38,8.4418,392,38.9,23.3775,139
1_55,1,55,0.0009,-0.0,642.41,1584.95,1401.58,21.61,554.45,2388.04,9048.94,47.4,522.11,2388.02,8134.1,8.4071,392,39.06,23.3567,137
1_58,1,58,-0.0014,0.0001,641.9,1590.46,1397.99,21.61,554.14,2388.09,9050.33,47.26,522.21,2388.04,8132.08,8.4319,390,38.93,23.2893,134
1_60,1,60,-0.001,-0.0002,642.34,1582.75,1403.07,21.61,554.0,2388.06,9051.69,47.41,522.49,2388.03,8132.89,8.3878,393,38.89,23.387,132
1_62,1,62,0.0004,0.0001,642.17,1581.59,1399.54,21.61,554.45,2388.1,9053.62,47.28,522.19,2388.1,8132.28,8.4071,391,39.03,23.2707,130
1_63,1,63,0.0015,0.0002,642.6,1592.14,1395.38,21.61,553.48,2388.06,9049.96,47.51,521.56,2388.01,8130.73,8.4357,394,38.77,23.3436,129
1_64,1,64,0.0017,0.0002,642.23,1584.51,1400.11,21.61,553.88,2388.1,9043.67,47.45,521.82,2388.04,8128.15,8.4066,391,38.93,23.384,128
1_66,1,66,-0.0007,-0.0004,642.5,1588.5,1399.52,21.61,554.0,2388.06,9059.45,47.14,521.76,2388.05,8128.32,8.3911,391,38.95,23.3152,126
1_69,1,69,-0.0022,0.0005,642.44,1590.7,1401.24,21.61,554.65,2388.07,9050.59,47.41,522.22,2388.1,8129.13,8.4292,392,39.0,23.3742,123
1_71,1,71,0.0016,-0.0003,642.21,1580.41,1403.09,21.61,554.06,2388.03,9046.09,47.3,521.72,2388.09,8134.28,8.423,391,38.8,23.3881,121
1_73,1,73,-0.0012,-0.0002,642.29,1592.04,1397.93,21.61,553.88,2388.03,9049.64,47.29,522.04,2388.1,8129.85,8.404,391,39.03,23.3975,119
1_74,1,74,0.0027,0.0001,642.96,1584.65,1401.48,21.61,554.03,2388.07,9045.85,47.58,522.25,2387.97,8132.67,8.4135,392,38.8,23.382,118
